id,sqft_above,sqft_basement,yr_built,yr_renovated,lat,long,sqft_living15,sqft_lot15
7304301231,1680,0,2007,0,47.7484,-122.322,1230,9300
2344300170,3270,1100,1990,0,47.582,-122.199,2980,12800
9407150130,1980,0,1996,0,47.3678,-122.019,1600,6380
9346950050,1230,890,1976,0,47.5621,-122.135,2690,10183
1542800010,1650,0,1996,0,47.6863,-122.093,1760,3762
8093600065,1030,0,1955,0,47.4857,-122.221,1420,6631
1430800191,1110,0,1949,0,47.4705,-122.352,1480,8100
7811210320,1710,0,1974,0,47.5903,-122.157,2270,9672
6117502220,2610,0,1952,0,47.4414,-122.354,2810,22672
2310110120,2190,0,2004,0,47.3506,-122.039,2200,5948
3342700465,1510,1330,1951,0,47.524,-122.2,2210,9669
2998800110,2520,920,2014,0,47.5727,-122.409,2350,5166
1562100030,1730,0,1965,0,47.6219,-122.138,2080,8400
3356402232,1230,0,1970,0,47.2878,-122.251,1550,12000
5029450110,780,630,1982,0,47.2914,-122.368,1440,7361
2722059185,2360,0,2000,0,47.369,-122.156,1730,18096
8081500060,4280,0,1984,0,47.6377,-122.212,3420,16351
5104540500,3190,0,2006,0,47.3555,-122.003,3400,7607
1459920010,1451,0,2010,0,47.3754,-122.163,2303,6126
3904910320,1670,0,1987,0,47.5688,-122.017,1850,5276
1821059264,1600,0,1959,0,47.3107,-122.212,1540,9918
7899800863,920,290,2008,0,47.5212,-122.357,1070,651
3528400180,1970,1420,1961,0,47.3954,-122.184,2530,8495
3980300371,290,0,1963,0,47.5308,-121.888,1620,22850
726049184,820,0,1952,0,47.7512,-122.34,1580,10169
6450301310,830,0,1950,0,47.7339,-122.339,1150,5250
9510900630,1360,750,1973,0,47.3082,-122.372,1660,8436
3830630140,1730,0,1987,0,47.3499,-122.177,1710,6490
5095400760,1310,0,1993,0,47.4695,-122.07,1790,13500
9284800085,1710,500,1914,2000,47.5525,-122.366,1350,5750
3356403820,1000,0,,0,47.2841,-122.255,1350,10208
4239400920,1090,0,1969,0,47.3162,-122.183,1040,2960
9828701565,1630,610,1954,0,47.6191,-122.296,1470,3775
9822700285,1610,300,1912,0,47.6597,-122.29,2170,5000
1257200060,940,940,1924,0,47.6754,-122.327,1410,4080
8956200560,2502,0,2013,0,47.2953,-122.265,2597,6983
7224500090,800,0,1938,0,47.4914,-122.204,1220,5000
9558010230,1940,0,2003,0,47.4513,-122.119,1940,4499
1773100430,1000,270,2006,0,47.5581,-122.363,1270,1325
2770602360,1200,690,2015,0,47.6472,-122.383,1650,1682
2800031,1010,,1930,0,47.4783,-122.265,1290,10320
7167000060,3410,0,2004,0,47.3602,-121.986,3350,175421
1443500905,920,100,1926,0,47.5328,-122.275,1230,7335
7922800190,1000,1000,1962,0,47.5882,-122.117,2040,8449
3298700840,750,0,1942,0,47.5198,-122.351,1020,5000
2141330050,1630,820,1987,0,47.5564,-122.13,3150,15500
1822069097,2330,540,1960,1985,47.401,-122.095,2380,59677
7520000520,960,280,1922,1984,47.4957,-122.352,1820,7460
